,0
NumOfEventsInJourney,-0.016472356386082944
interactionTime,-0.21945179934066963
maxPrice,-6.482201719993881e-06
NumCart,0.2769646192612658
NumView,-0.43416459033880833
InsessionView,-0.005808862922876551
weekday,-9.009928247242557e-10
timeOfDay,0.0
